decoy,selected,extra
-1,1,10001
-2,2,10002
-3,3,10003
-4,4,10004
-5,5,10005
-6,6,10006
-7,7,10007
-8,8,10008
-9,9,10009
-10,10,10010
-11,11,10011
-12,12,10012
-13,13,10013
-14,14,10014
-15,15,10015
-16,16,10016
-17,17,10017
-18,18,10018
-19,19,10019
-20,20,10020
-21,21,10021
-22,22,10022
-23,23,10023
-24,24,10024
-25,25,10025
-26,26,10026
-27,27,10027
-28,28,10028
-29,29,10029
-30,30,10030
-31,31,10031
-32,32,10032
-33,33,10033
-34,34,10034
-35,35,10035
-36,36,10036
-37,37,10037
-38,38,10038
-39,39,10039
-40,40,10040
-41,41,10041
-42,42,10042
-43,43,10043
-44,44,10044
-45,45,10045
-46,46,10046
-47,47,10047
-48,48,10048
-49,49,10049
-50,50,10050
-51,51,10051
-52,52,10052
-53,53,10053
-54,54,10054
-55,55,10055
-56,56,10056
-57,57,10057
-58,58,10058
-59,59,10059
-60,60,10060
-61,61,10061
-62,62,10062
-63,63,10063
-64,64,10064
-65,65,10065
-66,66,10066
-67,67,10067
-68,68,10068
-69,69,10069
-70,70,10070
-71,71,10071
-72,72,10072
-73,73,10073
-74,74,10074
-75,75,10075
-76,76,10076
-77,77,10077
-78,78,10078
-79,79,10079
-80,80,10080
-81,81,10081
-82,82,10082
-83,83,10083
-84,84,10084
-85,85,10085
-86,86,10086
-87,87,10087
-88,88,10088
-89,89,10089
-90,90,10090
-91,91,10091
-92,92,10092
-93,93,10093
-94,94,10094
-95,95,10095
-96,96,10096
-97,97,10097
-98,98,10098
-99,99,10099
-100,100,10100
-101,101,10101
-102,102,10102
-103,103,10103
-104,104,10104
-105,105,10105
-106,106,10106
-107,107,10107
-108,108,10108
-109,109,10109
-110,110,10110
-111,111,10111
-112,112,10112
-113,113,10113
-114,114,10114
-115,115,10115
-116,116,10116
-117,117,10117
-118,118,10118
-119,119,10119
-120,120,10120
-121,121,10121
-122,122,10122
-123,123,10123
-124,124,10124
-125,125,10125
-126,126,10126
-127,127,10127
-128,128,10128
-129,129,10129
-130,130,10130
-131,131,10131
-132,132,10132
-133,133,10133
-134,134,10134
-135,135,10135
-136,136,10136
-137,137,10137
-138,138,10138
-139,139,10139
-140,140,10140
-141,141,10141
-142,142,10142
-143,143,10143
-144,144,10144
-145,145,10145
-146,146,10146
-147,147,10147
-148,148,10148
-149,149,10149
-150,150,10150
-151,151,10151
-152,152,10152
-153,153,10153
-154,154,10154
-155,155,10155
-156,156,10156
-157,157,10157
-158,158,10158
-159,159,10159
-160,160,10160
-161,161,10161
-162,162,10162
-163,163,10163
-164,164,10164
-165,165,10165
-166,166,10166
-167,167,10167
-168,168,10168
-169,169,10169
-170,170,10170
-171,171,10171
-172,172,10172
-173,173,10173
-174,174,10174
-175,175,10175
-176,176,10176
-177,177,10177
-178,178,10178
-179,179,10179
-180,180,10180
-181,181,10181
-182,182,10182
-183,183,10183
-184,184,10184
-185,185,10185
-186,186,10186
-187,187,10187
-188,188,10188
-189,189,10189
-190,190,10190
-191,191,10191
-192,192,10192
-193,193,10193
-194,194,10194
-195,195,10195
-196,196,10196
-197,197,10197
-198,198,10198
-199,199,10199
-200,200,10200
-201,201,10201
-202,202,10202
-203,203,10203
-204,204,10204
-205,205,10205
-206,206,10206
-207,207,10207
-208,208,10208
-209,209,10209
-210,210,10210
-211,211,10211
-212,212,10212
-213,213,10213
-214,214,10214
-215,215,10215
-216,216,10216
-217,217,10217
-218,218,10218
-219,219,10219
-220,220,10220
-221,221,10221
-222,222,10222
-223,223,10223
-224,224,10224
-225,225,10225
-226,226,10226
-227,227,10227
-228,228,10228
-229,229,10229
-230,230,10230
-231,231,10231
-232,232,10232
-233,233,10233
-234,234,10234
-235,235,10235
-236,236,10236
-237,237,10237
-238,238,10238
-239,239,10239
-240,240,10240
-241,241,10241
-242,242,10242
-243,243,10243
-244,244,10244
-245,245,10245
-246,246,10246
-247,247,10247
-248,248,10248
-249,249,10249
-250,250,10250
-251,251,10251
-252,252,10252
-253,253,10253
-254,254,10254
-255,255,10255
-256,256,10256
-257,257,10257
-258,258,10258
-259,259,10259
-260,260,10260
-261,261,10261
-262,262,10262
-263,263,10263
-264,264,10264
-265,265,10265
-266,266,10266
-267,267,10267
-268,268,10268
-269,269,10269
-270,270,10270
-271,271,10271
-272,272,10272
-273,273,10273
-274,274,10274
-275,275,10275
-276,276,10276
-277,277,10277
-278,278,10278
-279,279,10279
-280,280,10280
-281,281,10281
-282,282,10282
-283,283,10283
-284,284,10284
-285,285,10285
-286,286,10286
-287,287,10287
-288,288,10288
-289,289,10289
-290,290,10290
-291,291,10291
-292,292,10292
-293,293,10293
-294,294,10294
-295,295,10295
-296,296,10296
-297,297,10297
-298,298,10298
-299,299,10299
-300,300,10300
-301,301,10301
-302,302,10302
-303,303,10303
-304,304,10304
-305,305,10305
-306,306,10306
-307,307,10307
-308,308,10308
-309,309,10309
-310,310,10310
-311,311,10311
-312,312,10312
-313,313,10313
-314,314,10314
-315,315,10315
-316,316,10316
-317,317,10317
-318,318,10318
-319,319,10319
-320,320,10320
-321,321,10321
-322,322,10322
-323,323,10323
-324,324,10324
-325,325,10325
-326,326,10326
-327,327,10327
-328,328,10328
-329,329,10329
-330,330,10330
-331,331,10331
-332,332,10332
-333,333,10333
-334,334,10334
-335,335,10335
-336,336,10336
-337,337,10337
-338,338,10338
-339,339,10339
-340,340,10340
-341,341,10341
-342,342,10342
-343,343,10343
-344,344,10344
-345,345,10345
-346,346,10346
-347,347,10347
-348,348,10348
-349,349,10349
-350,350,10350
-351,351,10351
-352,352,10352
-353,353,10353
-354,354,10354
-355,355,10355
-356,356,10356
-357,357,10357
-358,358,10358
-359,359,10359
-360,360,10360
-361,361,10361
-362,362,10362
-363,363,10363
-364,364,10364
-365,365,10365
-366,366,10366
-367,367,10367
-368,368,10368
-369,369,10369
-370,370,10370
-371,371,10371
-372,372,10372
-373,373,10373
-374,374,10374
-375,375,10375
-376,376,10376
-377,377,10377
-378,378,10378
-379,379,10379
-380,380,10380
-381,381,10381
-382,382,10382
-383,383,10383
-384,384,10384
-385,385,10385
-386,386,10386
-387,387,10387
-388,388,10388
-389,389,10389
-390,390,10390
-391,391,10391
-392,392,10392
-393,393,10393
-394,394,10394
-395,395,10395
-396,396,10396
-397,397,10397
-398,398,10398
-399,399,10399
-400,400,10400
-401,401,10401
-402,402,10402
-403,403,10403
-404,404,10404
-405,405,10405
-406,406,10406
-407,407,10407
-408,408,10408
-409,409,10409
-410,410,10410
-411,411,10411
-412,412,10412
-413,413,10413
-414,414,10414
-415,415,10415
-416,416,10416
-417,417,10417
-418,418,10418
-419,419,10419
-420,420,10420
-421,421,10421
-422,422,10422
-423,423,10423
-424,424,10424
-425,425,10425
-426,426,10426
-427,427,10427
-428,428,10428
-429,429,10429
-430,430,10430
-431,431,10431
-432,432,10432
-433,433,10433
-434,434,10434
-435,435,10435
-436,436,10436
-437,437,10437
-438,438,10438
-439,439,10439
-440,440,10440
-441,441,10441
-442,442,10442
-443,443,10443
-444,444,10444
-445,445,10445
-446,446,10446
-447,447,10447
-448,448,10448
-449,449,10449
-450,450,10450
-451,451,10451
-452,452,10452
-453,453,10453
-454,454,10454
-455,455,10455
-456,456,10456
-457,457,10457
-458,458,10458
-459,459,10459
-460,460,10460
-461,461,10461
-462,462,10462
-463,463,10463
-464,464,10464
-465,465,10465
-466,466,10466
-467,467,10467
-468,468,10468
-469,469,10469
-470,470,10470
-471,471,10471
-472,472,10472
-473,473,10473
-474,474,10474
-475,475,10475
-476,476,10476
-477,477,10477
-478,478,10478
-479,479,10479
-480,480,10480
-481,481,10481
-482,482,10482
-483,483,10483
-484,484,10484
-485,485,10485
-486,486,10486
-487,487,10487
-488,488,10488
-489,489,10489
-490,490,10490
-491,491,10491
-492,492,10492
-493,493,10493
-494,494,10494
-495,495,10495
-496,496,10496
-497,497,10497
-498,498,10498
-499,499,10499
-500,500,10500
-501,501,10501
-502,502,10502
-503,503,10503
-504,504,10504
-505,505,10505
-506,506,10506
-507,507,10507
-508,508,10508
-509,509,10509
-510,510,10510
-511,511,10511
-512,512,10512
-513,513,10513
-514,514,10514
-515,515,10515
-516,516,10516
-517,517,10517
-518,518,10518
-519,519,10519
-520,520,10520
-521,521,10521
-522,522,10522
-523,523,10523
-524,524,10524
-525,525,10525
-526,526,10526
-527,527,10527
-528,528,10528
-529,529,10529
-530,530,10530
-531,531,10531
-532,532,10532
-533,533,10533
-534,534,10534
-535,535,10535
-536,536,10536
-537,537,10537
-538,538,10538
-539,539,10539
-540,540,10540
-541,541,10541
-542,542,10542
-543,543,10543
-544,544,10544
-545,545,10545
-546,546,10546
-547,547,10547
-548,548,10548
-549,549,10549
-550,550,10550
-551,551,10551
-552,552,10552
-553,553,10553
-554,554,10554
-555,555,10555
-556,556,10556
-557,557,10557
-558,558,10558
-559,559,10559
-560,560,10560
-561,561,10561
-562,562,10562
-563,563,10563
-564,564,10564
-565,565,10565
-566,566,10566
-567,567,10567
-568,568,10568
-569,569,10569
-570,570,10570
-571,571,10571
-572,572,10572
-573,573,10573
-574,574,10574
-575,575,10575
-576,576,10576
-577,577,10577
-578,578,10578
-579,579,10579
-580,580,10580
-581,581,10581
-582,582,10582
-583,583,10583
-584,584,10584
-585,585,10585
-586,586,10586
-587,587,10587
-588,588,10588
-589,589,10589
-590,590,10590
-591,591,10591
-592,592,10592
-593,593,10593
-594,594,10594
-595,595,10595
-596,596,10596
-597,597,10597
-598,598,10598
-599,599,10599
-600,600,10600
-601,601,10601
-602,602,10602
-603,603,10603
-604,604,10604
-605,605,10605
-606,606,10606
-607,607,10607
-608,608,10608
-609,609,10609
-610,610,10610
-611,611,10611
-612,612,10612
-613,613,10613
-614,614,10614
-615,615,10615
-616,616,10616
-617,617,10617
-618,618,10618
-619,619,10619
-620,620,10620
-621,621,10621
-622,622,10622
-623,623,10623
-624,624,10624
-625,625,10625
-626,626,10626
-627,627,10627
-628,628,10628
-629,629,10629
-630,630,10630
-631,631,10631
-632,632,10632
-633,633,10633
-634,634,10634
-635,635,10635
-636,636,10636
-637,637,10637
-638,638,10638
-639,639,10639
-640,640,10640
-641,641,10641
-642,642,10642
-643,643,10643
-644,644,10644
-645,645,10645
-646,646,10646
-647,647,10647
-648,648,10648
-649,649,10649
-650,650,10650
-651,651,10651
-652,652,10652
-653,653,10653
-654,654,10654
-655,655,10655
-656,656,10656
-657,657,10657
-658,658,10658
-659,659,10659
-660,660,10660
-661,661,10661
-662,662,10662
-663,663,10663
-664,664,10664
-665,665,10665
-666,666,10666
-667,667,10667
-668,668,10668
-669,669,10669
-670,670,10670
-671,671,10671
-672,672,10672
-673,673,10673
-674,674,10674
-675,675,10675
-676,676,10676
-677,677,10677
-678,678,10678
-679,679,10679
-680,680,10680
-681,681,10681
-682,682,10682
-683,683,10683
-684,684,10684
-685,685,10685
-686,686,10686
-687,687,10687
-688,688,10688
-689,689,10689
-690,690,10690
-691,691,10691
-692,692,10692
-693,693,10693
-694,694,10694
-695,695,10695
-696,696,10696
-697,697,10697
-698,698,10698
-699,699,10699
-700,700,10700
-701,701,10701
-702,702,10702
-703,703,10703
-704,704,10704
-705,705,10705
-706,706,10706
-707,707,10707
-708,708,10708
-709,709,10709
-710,710,10710
-711,711,10711
-712,712,10712
-713,713,10713
-714,714,10714
-715,715,10715
-716,716,10716
-717,717,10717
-718,718,10718
-719,719,10719
-720,720,10720
-721,721,10721
-722,722,10722
-723,723,10723
-724,724,10724
-725,725,10725
-726,726,10726
-727,727,10727
